Objetivo,SDG_GOAL
Meta,SDG_TARGET
Indicador,SDG_INDICATOR
Descripción,SDG_SERIES_DESCR
Fecha de actualización,META_LAST_UPDATE
Vínculos con otros objetivos y metas,SDG_RELATED_INDICATORS
Organismos que custodian los ODS,SDG_CUSTODIAN_AGENCIES
Organización responsable,CONTACT_ORGANISATION
Contacto,CONTACT_NAME
Departamento del contacto,ORGANISATION_UNIT
Funciones del contacto,CONTACT_FUNCT
Teléfono,CONTACT_PHONE
email,CONTACT_MAIL
Definición,STAT_CONC_DEF
Descripción de la unidad de medida,UNIT_MEASURE
Referencias y clasificaciones,CLASS_SYSTEM
Fuentes,SOURCE_TYPE
Métodos para recopilación de datos,COLL_METHOD
Próxima fecha de recopilación,FREQ_COLL
Fechas previstas de publicación,REL_CAL_POLICY
Proveedores de datos nacionales y/o internacionales,DATA_SOURCE
Organización(es) responsable(s),COMPILING_ORG
Reglas,INST_MANDATE
Propósito y justificación,RATIONALE
Limitaciones,REC_USE_LIM
Cálculo,DATA_COMP
Descripción del proceso de seguimiento de los resultados,DATA_VALIDATION
Ajustes,ADJUSTMENT
Imputation,IMPUTATION
Reg_Agg,REG_AGG
Metadatos disponibles a nivel mundial,DOC_METHOD
Descripción de los sistemas y marcos establecidos,QUALITY_MGMNT
Descripción de las prácticas y lineamientos,QUALITY_ASSURE
Descripción de la evaluación general,QUALITY_ASSMNT
Desgloses,COVERAGE
Comparabilidad,COMPARABILITY
Otras descripciones y documentos referentes al indicador,OTHER_DOC
Nombre del indicador,indicator_name
Código del indicador,indicator_number
Unidad de medida,computation_units
Estado de informe,reporting_status
Fuente_activa1,source_active_1
Organización1,source_organisation_1
Periodicidad1,source_periodicity_1
Fuente disponible1,source_earliest_available_1
Cobertura geográfica de la fuente1,source_geographical_coverage_1
Url1,source_url_1
Texto de la url1,source_url_text_1
Fecha de publicación de la fuente1,source_release_date_1
Fuente siguiente lanzamiento1,source_next_release_1
Clasificación estadística de la fuente1,source_statistical_classification_1
Contacto de la fuente1,source_contact_1
Otra información de la fuente1,source_other_info_1
