Value,Disaggregation combinations using this value,Number of indicators
Aguascalientes-Aguascalientes,1,1
Aguascalientes-Asientos,1,1
Aguascalientes-Calvillo,1,1
Aguascalientes-Cosío,1,1
Aguascalientes-El Llano,1,1
Aguascalientes-Jesús María,1,1
Aguascalientes-Pabellón de Arteaga,1,1
Aguascalientes-Rincón de Romos,1,1
Aguascalientes-San Francisco de los Romo,1,1
Aguascalientes-San José de Gracia,1,1
Aguascalientes-Tepezalá,1,1
Aguascalientes,1,1
Baja California-Ensenada,1,1
Baja California-Mexicali,1,1
Baja California-Playas de Rosarito,1,1
Baja California-San Quintín,1,1
Baja California Sur-Comondú,1,1
Baja California Sur-La Paz,1,1
Baja California Sur-Loreto,1,1
Baja California Sur-Los Cabos,1,1
Baja California Sur-Mulegé,1,1
Baja California Sur,1,1
Baja California-Tecate,1,1
Baja California-Tijuana,1,1
Baja California,1,1
Campeche-Calakmul,1,1
Campeche-Calkiní,1,1
Campeche-Campeche,1,1
Campeche-Candelaria,1,1
Campeche-Carmen,1,1
Campeche-Champotón,1,1
Campeche-Escárcega,1,1
Campeche-Hecelchakán,1,1
Campeche-Hopelchén,1,1
Campeche-Palizada,1,1
Campeche-Tenabo,1,1
Campeche,1,1
Chiapas-Acacoyagua,1,1
Chiapas-Acala,1,1
Chiapas-Acapetahua,1,1
Chiapas-Aldama,1,1
Chiapas-Altamirano,1,1
Chiapas-Amatenango de la Frontera,1,1
Chiapas-Amatenango del Valle,1,1
Chiapas-Amatán,1,1
Chiapas-Angel Albino Corzo,1,1
Chiapas-Arriaga,1,1
Chiapas-Bejucal de Ocampo,1,1
Chiapas-Bella Vista,1,1
Chiapas-Benemérito de las Américas,1,1
Chiapas-Berriozábal,1,1
Chiapas-Bochil,1,1
Chiapas-Cacahoatán,1,1
Chiapas-Catazajá,1,1
Chiapas-Chalchihuitán,1,1
Chiapas-Chamula,1,1
Chiapas-Chanal,1,1
Chiapas-Chapultenango,1,1
Chiapas-Chenalhó,1,1
Chiapas-Chiapa de Corzo,1,1
Chiapas-Chiapilla,1,1
Chiapas-Chicoasén,1,1
Chiapas-Chicomuselo,1,1
Chiapas-Chilón,1,1
Chiapas-Cintalapa,1,1
Chiapas-Coapilla,1,1
Chiapas-Comitán de Domínguez,1,1
Chiapas-Copainalá,1,1
Chiapas-El Bosque,1,1
Chiapas-El Parral,1,1
Chiapas-El Porvenir,1,1
Chiapas-Emiliano Zapata,1,1
Chiapas-Escuintla,1,1
Chiapas-Francisco León,1,1
Chiapas-Frontera Comalapa,1,1
Chiapas-Frontera Hidalgo,1,1
Chiapas-Huehuetán,1,1
Chiapas-Huitiupán,1,1
Chiapas-Huixtla,1,1
Chiapas-Huixtán,1,1
Chiapas-Ixhuatán,1,1
Chiapas-Ixtacomitán,1,1
Chiapas-Ixtapa,1,1
Chiapas-Ixtapangajoya,1,1
Chiapas-Jiquipilas,1,1
Chiapas-Jitotol,1,1
Chiapas-Juárez,1,1
Chiapas-La Concordia,1,1
Chiapas-La Grandeza,1,1
Chiapas-La Independencia,1,1
Chiapas-La Libertad,1,1
Chiapas-La Trinitaria,1,1
Chiapas-Larráinzar,1,1
Chiapas-Las Margaritas,1,1
Chiapas-Las Rosas,1,1
Chiapas-Mapastepec,1,1
Chiapas-Maravilla Tenejapa,1,1
Chiapas-Marqués de Comillas,1,1
Chiapas-Mazapa de Madero,1,1
Chiapas-Mazatán,1,1
Chiapas-Metapa,1,1
Chiapas-Mezcalapa,1,1
Chiapas-Mitontic,1,1
Chiapas-Montecristo de Guerrero,1,1
Chiapas-Motozintla,1,1
Chiapas-Nicolás Ruíz,1,1
Chiapas-Ocosingo,1,1
Chiapas-Ocotepec,1,1
Chiapas-Ocozocoautla de Espinosa,1,1
Chiapas-Ostuacán,1,1
Chiapas-Osumacinta,1,1
Chiapas-Oxchuc,1,1
Chiapas-Palenque,1,1
Chiapas-Pantelhó,1,1
Chiapas-Pantepec,1,1
Chiapas-Pichucalco,1,1
Chiapas-Pijijiapan,1,1
Chiapas-Pueblo Nuevo Solistahuacán,1,1
Chiapas-Rayón,1,1
Chiapas-Reforma,1,1
Chiapas-Rincón Chamula San Pedro,1,1
Chiapas-Sabanilla,1,1
Chiapas-Salto de Agua,1,1
Chiapas-San Andrés Duraznal,1,1
Chiapas-San Cristóbal de las Casas,1,1
Chiapas-San Fernando,1,1
Chiapas-San Juan Cancuc,1,1
Chiapas-San Lucas,1,1
Chiapas-Santiago el Pinar,1,1
Chiapas-Siltepec,1,1
Chiapas-Simojovel,1,1
