Value,Disaggregation combinations using this value,Number of indicators
Aguascalientes,2,2
Baja California Sur,2,2
Baja California,2,2
Campeche,2,2
Chiapas,2,2
Chihuahua,2,2
Ciudad de México,2,2
Coahuila de Zaragoza,2,2
Colima,2,2
Durango,2,2
Estados Unidos Mexicanos,2,2
Guanajuato,2,2
Guerrero,2,2
Hidalgo,2,2
Jalisco,2,2
Michoacán de Ocampo,2,2
Morelos,2,2
México,2,2
Nayarit,2,2
Nuevo León,2,2
Oaxaca,2,2
Puebla,2,2
Querétaro,2,2
Quintana Roo,2,2
San Luis Potosí,2,2
Sinaloa,2,2
Sonora,2,2
Tabasco,2,2
Tamaulipas,2,2
Tlaxcala,2,2
Veracruz de Ignacio de la Llave,2,2
Yucatán,2,2
Zacatecas,2,2
