Value,Disaggregation combinations using this value,Number of indicators
Aguascalientes,13,2
Baja California Sur,7,2
Baja California,8,2
Campeche,13,2
Chiapas,124,2
Chihuahua,69,2
Ciudad de México,18,2
Coahuila de Zaragoza,40,2
Colima,12,2
Durango,41,2
Estados Unidos Mexicanos,2,2
Guanajuato,48,2
Guerrero,83,2
Hidalgo,86,2
Jalisco,127,2
Michoacán de Ocampo,115,2
Morelos,35,2
México,127,2
Nayarit,22,2
Nuevo León,53,2
Oaxaca,572,2
Puebla,219,2
Querétaro,20,2
Quintana Roo,13,2
San Luis Potosí,60,2
Sinaloa,20,2
Sonora,74,2
Tabasco,19,2
Tamaulipas,45,2
Tlaxcala,62,2
Veracruz de Ignacio de la Llave,214,2
Yucatán,108,2
Zacatecas,60,2
