Value,Disaggregation combinations using this value,Number of indicators
Abalá,4,4
Abasolo,16,4
Abejones,4,4
Acacoyagua,4,4
Acajete,8,4
Acala,4,4
Acambay de Ruíz Castañeda,4,4
Acanceh,4,4
Acapetahua,4,4
Acaponeta,4,4
Acapulco de Juárez,4,4
Acapulco,15,4
Acateno,4,4
Acatepec,4,4
Acatic,4,4
Acatlán de Juárez,4,4
Acatlán de Pérez Figueroa,4,4
Acatlán,12,4
Acatzingo,4,4
Acaxochitlán,4,4
Acayucan,4,4
Acolman,4,4
Aconchi,4,4
Acteopan,4,4
Actopan,8,4
Acuamanala de Miguel Hidalgo,4,4
Acuitzio,4,4
Acula,4,4
Aculco,4,4
Acultzingo,4,4
Acuña,4,4
Acámbaro,4,4
Agua Blanca de Iturbide,4,4
Agua Dulce,4,4
Agua Prieta,4,4
Agualeguas,4,4
Aguascalientes,19,8
Aguililla,4,4
Ahome,4,4
Ahuacatlán,8,4
Ahuacuotzingo,4,4
Ahualulco de Mercado,4,4
Ahualulco,4,4
Ahuatlán,4,4
Ahuazotepec,4,4
Ahuehuetitla,4,4
Ahumada,4,4
Ajacuba,4,4
Ajalpan,4,4
Ajuchitlán del Progreso,4,4
Akil,4,4
Alamos,4,4
Alaquines,4,4
Albino Zertuche,4,4
Alcozauca de Guerrero,4,4
Aldama,12,4
Alfajayucan,4,4
Aljojuca,4,4
Allende,12,4
Almoloya de Alquisiras,4,4
Almoloya de Juárez,4,4
Almoloya del Río,4,4
Almoloya,4,4
Alpatláhuac,4,4
Alpoyeca,4,4
Altamira,4,4
Altamirano,4,4
Altar,4,4
Altepexi,4,4
Alto Lucero de Gutiérrez Barrios,4,4
Altotonga,4,4
Alvarado,4,4
Amacueca,4,4
Amacuzac,4,4
Amanalco,4,4
Amatenango de la Frontera,4,4
Amatenango del Valle,4,4
Amatepec,4,4
Amatitlán,4,4
Amatitán,4,4
Amatlán de Cañas,4,4
Amatlán de los Reyes,4,4
Amatán,4,4
Amaxac de Guerrero,4,4
Amealco de Bonfil,4,4
Ameca,4,4
Amecameca,4,4
Amixtlán,4,4
Amozoc,4,4
Angamacutiro,4,4
Angangueo,4,4
Angel Albino Corzo,4,4
Angel R. Cabada,4,4
