Value,Disaggregation combinations using this value,Number of indicators
Abalá,15,2
Abasolo,60,2
Abejones,15,2
Acacoyagua,15,2
Acajete,30,2
Acala,15,2
Acambay de Ruíz Castañeda,15,2
Acanceh,15,2
Acapetahua,15,2
Acaponeta,15,2
Acapulco de Juárez,15,2
Acateno,15,2
Acatepec,15,2
Acatic,15,2
Acatlán de Juárez,15,2
Acatlán de Pérez Figueroa,15,2
Acatlán,45,2
Acatzingo,15,2
Acaxochitlán,15,2
Acayucan,15,2
Acolman,15,2
Aconchi,15,2
Acteopan,15,2
Actopan,30,2
Acuamanala de Miguel Hidalgo,15,2
Acuitzio,15,2
Acula,15,2
Aculco,15,2
Acultzingo,15,2
Acuña,15,2
Acámbaro,15,2
Agua Blanca de Iturbide,15,2
Agua Dulce,15,2
Agua Prieta,15,2
Agualeguas,15,2
Aguascalientes,15,2
Aguililla,15,2
Ahome,15,2
Ahuacatlán,30,2
Ahuacuotzingo,15,2
Ahualulco de Mercado,15,2
Ahualulco,15,2
Ahuatlán,15,2
Ahuazotepec,15,2
Ahuehuetitla,15,2
Ahumada,15,2
Ajacuba,15,2
Ajalpan,15,2
Ajuchitlán del Progreso,15,2
Akil,15,2
Alamos,15,2
Alaquines,15,2
Albino Zertuche,15,2
Alcozauca de Guerrero,15,2
Aldama,45,2
Alfajayucan,15,2
Aljojuca,15,2
Allende,45,2
Almoloya de Alquisiras,15,2
Almoloya de Juárez,15,2
Almoloya del Río,15,2
Almoloya,15,2
Alpatláhuac,15,2
Alpoyeca,15,2
Altamira,15,2
Altamirano,15,2
Altar,15,2
Altepexi,15,2
Alto Lucero de Gutiérrez Barrios,15,2
Altotonga,15,2
Alvarado,15,2
Amacueca,15,2
Amacuzac,15,2
Amanalco,15,2
Amatenango de la Frontera,15,2
Amatenango del Valle,15,2
Amatepec,15,2
Amatitlán,15,2
Amatitán,15,2
Amatlán de Cañas,15,2
Amatlán de los Reyes,15,2
Amatán,15,2
Amaxac de Guerrero,15,2
Amealco de Bonfil,15,2
Ameca,15,2
Amecameca,15,2
Amixtlán,15,2
Amozoc,15,2
Angamacutiro,15,2
Angangueo,15,2
Angel Albino Corzo,15,2
Angel R. Cabada,15,2
Angostura,15,2
Antiguo Morelos,15,2
Anáhuac,15,2
Apan,15,2
Apaseo el Alto,15,2
Apaseo el Grande,15,2
Apatzingán,15,2
Apaxco,15,2
Apaxtla,15,2
Apazapan,15,2
Apetatitlán de Antonio Carvajal,15,2
Apizaco,15,2
Apodaca,15,2
Aporo,15,2
Apozol,15,2
Apulco,15,2
Aquila,30,2
Aquiles Serdán,15,2
Aquismón,15,2
Aquixtla,15,2
Aramberri,15,2
Arandas,15,2
Arcelia,15,2
Ario,15,2
Arivechi,15,2
Arizpe,15,2
Armadillo de los Infante,15,2
Armería,15,2
Arriaga,15,2
Arroyo Seco,15,2
Arteaga,30,2
Ascensión,15,2
Asientos,15,2
Astacinga,15,2
Asunción Cacalotepec,15,2
Asunción Cuyotepeji,15,2
Asunción Ixtaltepec,15,2
Asunción Nochixtlán,15,2
Asunción Ocotlán,15,2
Asunción Tlacolulita,15,2
Atarjea,15,2
Atemajac de Brizuela,15,2
Atempan,15,2
Atenango del Río,15,2
Atenco,15,2
Atengo,15,2
Atenguillo,15,2
Atexcal,15,2
Atil,15,2
Atitalaquia,15,2
Atizapán de Zaragoza,15,2
Atizapán,15,2
Atlacomulco,15,2
Atlahuilco,15,2
Atlamajalcingo del Monte,15,2
Atlangatepec,15,2
Atlapexco,15,2
Atlatlahucan,15,2
Atlautla,15,2
Atlequizayan,15,2
Atlixco,15,2
Atlixtac,15,2
Atltzayanca,15,2
Atolinga,15,2
Atotonilco de Tula,15,2
Atotonilco el Alto,15,2
Atotonilco el Grande,15,2
Atoyac de Álvarez,15,2
